date,title,subtitle,link
0004-01-01,Gott sei Dank ist Montag Tag in den USA,National Thank God It’s Monday Day 2024,https://www.kuriose-feiertage.de/gott-sei-dank-ist-montag-tag/
0004-01-01,Katertag zu Neujahr,Hangover Day in den USA,https://www.kuriose-feiertage.de/national-hangover-day/
0004-01-01,Tag des Glücksschweins in Deutschland,1. Januar,https://www.kuriose-feiertage.de/tag-des-gluecksschweins/
0004-01-01,Bloody Mary Tag,National Bloody Mary Day in den USA,https://www.kuriose-feiertage.de/bloody-mary-tag/
0004-01-01,Verschenk einen Apfel Tag,Apple Gifting Day in den USA,https://www.kuriose-feiertage.de/verschenk-einen-apfel-tag/
0004-01-01,Tag des Buchstaben Z,der US amerikanische Z Day,https://www.kuriose-feiertage.de/tag-des-buchstaben-z-der-amerikanische-z-day/
0004-01-01,Bonza Bottler Day in den USA,1. Januar 2024,https://www.kuriose-feiertage.de/bonza-bottler-day/
0004-01-02,Tag der Introvertierten,World Introvert Day 2024,https://www.kuriose-feiertage.de/tag-der-introvertierten/
0004-01-02,Tag des Schweizer Käses,National Swiss Cheese Day in den USA,https://www.kuriose-feiertage.de/tag-des-schweizer-kaeses/
0004-01-02,Waldmännchentag oder Schlägelstag in Deutschland,Waldmännchentag oder Schlägelstag in Deutschland,https://www.kuriose-feiertage.de/waldmaennchentag/
0004-01-02,Tag des Buffets,der National Buffet Day in den USA,https://www.kuriose-feiertage.de/national-buffet-day-usa/
0004-01-02,Tag der Windbeutel,der National Cream Puff Day in den USA,https://www.kuriose-feiertage.de/tag-der-windbeutel-usa/
0004-01-02,Katzen Neujahr,der US amerikanische Happy Mew Year for Cats Day,https://www.kuriose-feiertage.de/katzen-neujahr-happy-mew-year-for-cats-day/
0004-01-02,Science Fiction Tag,National Science Fiction Day in den Vereinigten Staaten,https://www.kuriose-feiertage.de/national-science-fiction-day-usa/
0004-01-03,Der internationale Women Rock! Day,3. Januar 2024,https://www.kuriose-feiertage.de/women-rock-day/
0004-01-03,Der internationale J.R.R. Tolkien Day am 3. Januar,Der internationale J.R.R. Tolkien Day am 3. Januar,https://www.kuriose-feiertage.de/jrr-tolkien-day/
0004-01-03,Tag der schokolierten Kirschen,National Chocolate Covered Cherry Day in den USA,https://www.kuriose-feiertage.de/tag-der-schokolierten-kirschen-usa/
0004-01-03,Feiertag des Schlafens,der US amerikanische Festival of Sleep Day am 3. Januar,https://www.kuriose-feiertage.de/festival-of-sleep-day-usa/
0004-01-03,Tag des Strohhalms,National Drinking Straw Day in den Vereinigten Staaten,https://www.kuriose-feiertage.de/tag-des-strohhalms-usa/
0004-01-04,Verschenk einen Blumenkorb Tag,Free Flower Basket Day in den USA,https://www.kuriose-feiertage.de/verschenk-einen-blumenkorb-tag/
0004-01-04,Der bundesweite Tag der Mandarine in Deutschland am 4. Januar 2024,Der bundesweite Tag der Mandarine in Deutschland am 4. Januar 2024,https://www.kuriose-feiertage.de/tag-der-mandarine/
0004-01-04,Welt Braille Tag,der internationale World Braille Day,https://www.kuriose-feiertage.de/welt-braille-tag/
0004-01-04,Tag des Trivialwissens,National Trivia Day in den USA,https://www.kuriose-feiertage.de/national-trivia-day-usa/
0004-01-04,Spaghetti Tag,National Spaghetti Day in den USA,https://www.kuriose-feiertage.de/spaghetti-tag-usa/
0004-01-05,Tag der Drehbuchautoren,National Screenwriters Day in den USA,https://www.kuriose-feiertage.de/tag-der-drehbuchautoren/
0004-01-05,Tag der Schlagsahne,der US amerikanische National Whipped Cream Day,https://www.kuriose-feiertage.de/tag-der-schlagsahne/
0004-01-05,Tag des Vogels,National Bird Day in den Vereinigten Staaten am 5. Januar,https://www.kuriose-feiertage.de/national-bird-day-usa/
0004-01-06,Nollaig na mBan,6. Januar,https://www.kuriose-feiertage.de/little-christmas-in-irland/
0004-01-06,Tag der Frau Holle in Europa,oder: das Ende der Rauhnächte am 6. Januar,https://www.kuriose-feiertage.de/tag-der-frau-holle/
