id,date,name,desc,link,icon
0,01-01,Gott sei Dank ist Montag Tag,National Thank God It’s Monday Day,https://www.kuriose-feiertage.de/gott-sei-dank-ist-montag-tag/,sentiment_satisfied
1,01-01,Katertag,Hangover Day in den USA,https://www.kuriose-feiertage.de/national-hangover-day/,local_bar
2,01-01,Tag des Glücksschweins,Glücksschwein-Feier in Deutschland,https://www.kuriose-feiertage.de/tag-des-gluecksschweins/,pets
3,01-01,Bloody Mary Tag,Cocktail-Feier in den USA,https://www.kuriose-feiertage.de/bloody-mary-tag/,liquor
4,01-01,Verschenk einen Apfel Tag,Apple Gifting Day,https://www.kuriose-feiertage.de/verschenk-einen-apfel-tag/,apple
5,01-01,Tag des Buchstaben Z,Z Day in den USA,https://www.kuriose-feiertage.de/tag-des-buchstaben-z-der-amerikanische-z-day/,font_download
6,01-01,Bonza Bottler Day,US-Feier für den Monatsanfang,https://www.kuriose-feiertage.de/bonza-bottler-day/,calendar_today
7,01-02,Tag der Introvertierten,World Introvert Day,https://www.kuriose-feiertage.de/tag-der-introvertierten/,person_off
8,01-02,Tag des Schweizer Käses,Swiss Cheese Day in den USA,https://www.kuriose-feiertage.de/tag-des-schweizer-kaeses/,restaurant
9,01-02,Waldmännchentag,Traditioneller Feiertag in Deutschland,https://www.kuriose-feiertage.de/waldmaennchentag/,park
10,01-02,Tag des Buffets,Buffet-Feier in den USA,https://www.kuriose-feiertage.de/national-buffet-day-usa/,restaurant_menu
11,01-02,Tag der Windbeutel,Cream Puff Day in den USA,https://www.kuriose-feiertage.de/tag-der-windbeutel-usa/,cake
12,01-02,Katzen Neujahr,Happy Mew Year for Cats Day,https://www.kuriose-feiertage.de/katzen-neujahr-happy-mew-year-for-cats-day/,pets
13,01-02,Science Fiction Tag,National Science Fiction Day,https://www.kuriose-feiertage.de/national-science-fiction-day-usa/,science
14,01-03,Women Rock! Day,Internationaler Ehrentag für Frauen im Rock,https://www.kuriose-feiertage.de/women-rock-day/,music_note
15,01-03,J.R.R. Tolkien Day,Feier zu Ehren des Autors,https://www.kuriose-feiertage.de/jrr-tolkien-day/,menu_book
16,01-03,Tag der schokolierten Kirschen,Chocolate Covered Cherry Day,https://www.kuriose-feiertage.de/tag-der-schokolierten-kirschen-usa/,cookie
17,01-03,Tag des Schlafens,Festival of Sleep Day,https://www.kuriose-feiertage.de/festival-of-sleep-day-usa/,bed
18,01-03,Tag des Strohhalms,Drinking Straw Day in den USA,https://www.kuriose-feiertage.de/tag-des-strohhalms-usa/,emoji_food_beverage
19,01-04,Verschenk einen Blumenkorb Tag,Free Flower Basket Day,https://www.kuriose-feiertage.de/verschenk-einen-blumenkorb-tag/,local_florist
20,01-04,Tag der Mandarine,Mandarinen-Feier in Deutschland,https://www.kuriose-feiertage.de/tag-der-mandarine/,nutrition
21,01-04,Welt Braille Tag,World Braille Day,https://www.kuriose-feiertage.de/welt-braille-tag/,visibility_off
22,01-04,Tag des Trivialwissens,National Trivia Day,https://www.kuriose-feiertage.de/national-trivia-day-usa/,quiz
23,01-04,Spaghetti Tag,National Spaghetti Day in den USA,https://www.kuriose-feiertage.de/spaghetti-tag-usa/,restaurant
24,01-05,Tag der Drehbuchautoren,National Screenwriters Day in den USA,https://www.kuriose-feiertage.de/tag-der-drehbuchautoren/,edit_note
25,01-05,Tag der Schlagsahne,US-amerikanischer National Whipped Cream Day,https://www.kuriose-feiertage.de/tag-der-schlagsahne/,icecream
26,01-05,Tag des Vogels,National Bird Day in den Vereinigten Staaten,https://www.kuriose-feiertage.de/national-bird-day-usa/,pets
27,01-06,Nollaig na mBan,Irischer Frauentag,https://www.kuriose-feiertage.de/little-christmas-in-irland/,celebration
28,01-06,Tag der Frau Holle,Frau Holle und das Ende der Rauhnächte,https://www.kuriose-feiertage.de/tag-der-frau-holle/,cloud
29,01-06,La Befana,Nacht der Weihnachtshexe Befana in Italien,https://www.kuriose-feiertage.de/nacht-der-befana-in-italien/,elf
30,01-06,Bau den Weihnachtsbaum ab Tag,National Take Down the Christmas Tree Day,https://www.kuriose-feiertage.de/bau-den-weihnachtsbaum-ab-tag/,forest
31,01-06,Tag des schottischen Shortbread,National Shortbread Day in den USA,https://www.kuriose-feiertage.de/tag-des-schottischen-shortbread/,cake
32,01-06,Tag der Bohne,US-amerikanischer National Bean Day,https://www.kuriose-feiertage.de/tag-der-bohne/,spa
33,01-06,Tag des Kuschelns,National Cuddle Up Day in den USA,https://www.kuriose-feiertage.de/tag-des-kuschelns-cuddle-up-day/,favorite
